Conference,Year,"Panel, Keynote, Captstone, Demo, Poster, ...","Paper type: C=conference paper, T = TVCG journal paper, M=miscellaneous (capstone, keynote, VAST challenge, panel, poster, ...)",Author Names,Author IDs,IEEE Xplore Number Guessed,Deduped author names,filename,References,
InfoVis,2014,,T,"Wood, J.;Beecham, R.;Dykes, J.",;;,,"Wood, J.;Beecham, R.;Dykes, J.",wood_infovis_14,6327285;6327281;6327248;6064986;6634126;5613452;6634110;1382903;6065017;6634166;4658128,
InfoVis,2014,,T,"Kindlmann, G.;Scheidegger, C.",;,,"Kindlmann, G.;Scheidegger, C.E.",kindlmann_infovis_14,6634146;801860;5613460;5613502;568118;6634168;5290761;5290695;4376133;6634182;1249005;1382903;567784;6634108;4658127;6327249;5613434,
InfoVis,2014,,T,"McKenna, S.;Mazur, D.;Agutter, J.;Meyer, M.",;;;,,"McKenna, S.;Mazur, D.;Agutter, J.;Meyer, M.",mckenna_infovis_14,6327248;6065017;5290695;6634108;6634166,
InfoVis,2014,,T,"Stusak, S.;Tabard, A.;Sauka, F.;Khot, R.A.;Butz, A.",;;;;,,"Stusak, S.;Tabard, A.;Sauka, F.;Khot, R.A.;Butz, A.",stusak_infovis_14,4376134;1249031;6634126,
InfoVis,2014,,T,"Pandey, A.V.;Manivannan, A.;Nov, O.;Satterthwaite, M.;Bertini, E.",;;;;,,"Pandey, A.V.;Manivannan, A.;Nov, O.;Satterthwaite, M.;Bertini, E.",pandey_infovis_14,6327259;6327280;6327282;6065015;6634103,
InfoVis,2014,,T,"Netzel, R.;Burch, M.;Weiskopf, D.",;;,,"Netzel, R.;Burch, M.;Weiskopf, D.",netzel_infovis_14,1382886;6065011;6065001,
InfoVis,2014,,T,"Saket, B.;Simonetto, P.;Kobourov, S.;Borner, K.",;;;,,"Saket, B.;Simonetto, P.;Kobourov, S.;Borner, K.",saket_infovis_14,1249011;6064991;4658147;528686;4376149;5290706;6634178;6634168,
InfoVis,2014,,T,"Chevalier, F.;Dragicevic, P.;Franconeri, S.",;;,,"Chevalier, F.;Dragicevic, P.;Franconeri, S.",chevalier_infovis_14,6327259;801854;1173148;4658123;4376146,
InfoVis,2014,,T,"Fuchs, J.;Isenberg, P.;Bezerianos, A.;Fischer, F.;Bertini, E.",;;;;,,"Fuchs, J.;Isenberg, P.;Bezerianos, A.;Fischer, F.;Bertini, E.",fuchs_infovis_14,6327283;4658168;6064957;1382895,
InfoVis,2014,,T,"Borgo, R.;Dearden, J.;Jones, M.W.",;;,,"Borgo, R.;Dearden, J.;Jones, M.W.",borgo_infovis_14,6634178;6327269;1382903;6327282;1532136;6065014;5613441;6634103,
InfoVis,2014,,T,"Brehmer, M.;Ingram, S.;Stray, J.;Munzner, T.",;;;,,"Brehmer, M.;Ingram, S.;Stray, J.;Munzner, T.",brehmer_infovis_14,5290709;1382900;6327293;6327248;6327294;5290725;6634160;6634128;5290715;6634168;6065008;5652940;6065017,
InfoVis,2014,,T,Weiwei Cui;Shixia Liu;Zhuofeng Wu;Hao Wei,;;;,,Weiwei Cui;Shixia Liu;Zhuofeng Wu;Hao Wei,cui_infovis_14,6634164;5290699;7042494;5290695;6065008;6876032;6327274;6634134;6327272;6634160;6634100,
InfoVis,2014,,T,"Goffin, P.;Willett, W.;Fekete, J.-D.;Isenberg, P.",;;;,,"Goffin, P.;Willett, W.;Fekete, J.;Isenberg, P.",goffin_infovis_14,6634087;4015420;6327267;6064996;4376132;6064990;6634156;5613457;1532144,
InfoVis,2014,,T,"van der Corput, P.;van Wijk, J.J.",;,,"van der Corput, P.;van Wijk, J.J.",vandercorput_infovis_14,,
InfoVis,2014,,T,"van den Elzen, S.;van Wijk, J.J.",;,,"van den Elzen, S.;van Wijk, J.J.",vandenelzen_infovis_14,485139;1249008;4015419;5290707;6634091;4389013;346302;4376132;4658123;5290699;4015424;4015425,
